"city","state","country","report_summary","report_status","report_type","report_magnitude","land_uses","reporter_name","date_of_reform","last_updated","is_no_mandate_city","population","citation_url","lat","long"
"Akron","OH","US","Akron Ohio has no minimum requirements for parking for residential or commercial parking downtown.  Maximum allowed is one space per residence.","Implemented","Parking Maximums, Eliminate Parking Minimums","City Center/Business District","All Uses","Jason Segedy","","November 28, 2023, 11:47:03 AM PST",0,197597,"https://parkingreform.org/mandates-map/city_detail/Akron_OH.html",41.083064,-81.518485
"Akron","IA","US","The CBD Central Business District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:10 AM PST",0,1558,"https://parkingreform.org/mandates-map/city_detail/Akron_IA.html",42.8288056,-96.5579415
"Akron","CO","US","Parking mandates only apply to apartments in the C Residence District, the E Industrial District, and to mobile homes.","Implemented","Eliminate Parking Minimums","Citywide","Commercial, Industrial, Low Density (SF) Residential, Other","Samuel Deetz","","April 4, 2024, 10:42:02 AM PDT",0,1757,"https://parkingreform.org/mandates-map/city_detail/Akron_CO.html",40.1605374,-103.214384
"Alameda","CA","US","Effective 12/16/2021, Alameda has repealed parking requirements for all uses, citywide, and implemented maximums.","Implemented","Eliminate Parking Minimums, Parking Maximums","Citywide","All Uses","John Knox White","Dec 16, 2021","November 28, 2023, 11:47:04 AM PST",1,78280,"https://parkingreform.org/mandates-map/city_detail/Alameda_CA.html",37.7652076,-122.2416355
"Alameda County","CA","US","The Ashland and Cherryland Business District Specific Plan regulates a 246-acre area along two major streets in unincorporated Alameda County. Within the plan area, there are no minimum parking requirements for restaurants and small retail establishments. In most zones within the plan area, there are also no minimum requirements for offices, “general commercial”, gas stations, car washes, and automobile sales, rental, and repair establishments. For land uses where minimum parking requirements still apply, the requirements are generally lower than the County’s standard requirements. The plan sets maximum parking requirements for most land uses. At many residential developments, the plan also requires the unbundling of parking costs and the provision of designated spaces for carshare cars.","Implemented","Eliminate Parking Minimums, Parking Maximums","City Center/Business District","Commercial","Patrick Siegman","","November 28, 2023, 11:47:04 AM PST",0,1682353,"https://parkingreform.org/mandates-map/city_detail/AlamedaCounty_CA.html",37.5943781,-121.8885683
"Albany","MN","US","The C-1 Core Commercial District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:08 AM PST",0,2780,"https://parkingreform.org/mandates-map/city_detail/Albany_MN.html",45.6299647,-94.5700048
"Albany","WI","US","Areas which are located within the fire zone as designated on the Official Map are exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:12 AM PST",0,1096,"https://parkingreform.org/mandates-map/city_detail/Albany_WI.html",42.7079729,-89.4368317
"Albany","OR","US","On June 14, 2023  Albany, OR eliminated parking mandates citywide for all uses. Parking maximums apply to all uses. The reforms were instigated by Oregon's statewide reforms. ","Implemented","Eliminate Parking Minimums, Parking Maximums","Citywide","All Uses","Tony Jordan","Jun 14, 2023","May 12, 2024, 8:33:39 AM PDT",1,56472,"https://parkingreform.org/mandates-map/city_detail/Albany_OR.html",44.6365071,-123.1059324
"Albany","NY","US","Off-street vehicle parking is not required for any lot containing less than 5,000 square feet of gross site area or any property located within the Mixed-Use Downtown (MU-DT) District. Parking maximums apply to most uses. Parking reductions are available through the provision of frequent transit, on-street parking, a TDM plan or the payment of a fee-in-lieu of parking.","Implemented","Eliminate Parking Minimums, Parking Maximums, Reduce Parking Minimums","Citywide, City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:17 AM PST",0,99224,"https://parkingreform.org/mandates-map/city_detail/Albany_NY.html",42.6511674,-73.754968
"Albemarle","NC","US","Albemarle has no fixed parking ratios for nearly all uses other than: ADUs (one space required), selected home-based occupations (lawyers, physicians, dentists, and chiropractors), church tent uses, auction houses, and some light industrial uses.  ","Implemented","Eliminate Parking Minimums","Citywide","All Uses","Kevin Robinson","","February 23, 2024, 5:28:21 PM PST",0,16246,"https://parkingreform.org/mandates-map/city_detail/Albemarle_NC.html",35.3501426,-80.2000578
"Albert Lea","MN","US","Within the B-3 central business district, there is no requirement for off-street parking for properties located in parking maintenance district A, B or C. A description of the parking maintenance districts is filed in the office of the city clerk.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:08 AM PST",0,18492,"https://parkingreform.org/mandates-map/city_detail/AlbertLea_MN.html",43.6480127,-93.3682656
"Alberton","MT","US","Permitted uses within the GC General Commercial District are exempt from minimum parking requirements. A change of use in any district is exempt.","Implemented","Reduce Parking Minimums, Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:19 AM PST",0,452,"https://parkingreform.org/mandates-map/city_detail/Alberton_MT.html",47.0023955,-114.477156
"Albion","NE","US","In the C-2 Downtown Commercial District, on-street parking within 400 feet of the use may be included in the total required off-street parking, except for apartments. For Public Uses within a Residential District, on-street parking within 400 feet of the use may be included in the total required off-street parking, except for apartments.","Implemented","Reduce Parking Minimums","City Center/Business District","Commercial, Other","Samuel Deetz","","November 28, 2023, 11:47:10 AM PST",0,1699,"https://parkingreform.org/mandates-map/city_detail/Albion_NE.html",41.6929347,-98.0012269
"Albion","MI","US","Bike parking may substitute for automobile parking in parking lots with 25 or more spaces.","Implemented","Reduce Parking Minimums","Citywide","All Uses","Samuel Deetz","","March 22, 2024, 8:19:05 AM PDT",0,7700,"https://parkingreform.org/mandates-map/city_detail/Albion_MI.html",42.243097,-84.7530304
"Albuquerque","NM","US","Albuquerque New Mexico has eliminated off street parking requirements in the downtown and SU-1 Transit Oriented Development.  They have also reduced parking minimums in many other areas and had on street parking account for off street parking by different reduction rates in areas like transit oriented developments.","Implemented","Eliminate Parking Minimums","City Center/Business District, Transit Oriented","All Uses","Carrie Barkhurst","","November 28, 2023, 11:47:04 AM PST",0,560513,"https://parkingreform.org/mandates-map/city_detail/Albuquerque_NM.html",35.0841034,-106.650985
"Aledo","IL","US","No off street parking is required for buildings and uses located within the boundaries of the downtown area enclosed by NW/SW 3rd Avenue, SW/SE 4th Street, NE/SE 3rd Avenue, and NW/NE 2nd Street provided they are located within five hundred feet (500') of a public parking lot or an alternative parking plan is approved.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","Jul 20, 2015","November 28, 2023, 11:47:07 AM PST",0,3633,"https://parkingreform.org/mandates-map/city_detail/Aledo_IL.html",41.199665,-90.7484836
"Alexandria","MN","US","Parking mandates may be waived for existing buildings in the Central Business District.","Implemented","Reduce Parking Minimums","City Center/Business District","All Uses","Michael Weber","","November 28, 2023, 11:47:03 AM PST",0,13822,"https://parkingreform.org/mandates-map/city_detail/Alexandria_MN.html",45.8860567,-95.3793539
"Alexandria","VA","US","Alexandria has established maximum parking requirements In some commercial land uses and reduced minimum requirements in 'enhanced transit areas'. 

Additional reductions may be applied to multi-family/affordable housing land uses if in proximity to transit. ","Implemented","Parking Maximums, Reduce Parking Minimums","Transit Oriented, Citywide","Commercial","","","November 28, 2023, 11:47:04 AM PST",0,159428,"https://parkingreform.org/mandates-map/city_detail/Alexandria_VA.html",38.8051095,-77.0470229
"Alexandria","IN","US","The B-1 Business District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:19 AM PST",0,5149,"https://parkingreform.org/mandates-map/city_detail/Alexandria_IN.html",40.2628184,-85.675809
"Alexandria","LA","US","Off-street parking is not be required in the CBD district for commercial uses. Parking maximums are set at 110 percent of the minimums unless any parking above the 110 percent threshold is pervious or is provided through use of structured parking.","Implemented","Eliminate Parking Minimums, Parking Maximums","City Center/Business District","Commercial","Samuel Deetz","","January 2, 2024, 11:55:26 PM PST",0,45275,"https://parkingreform.org/mandates-map/city_detail/Alexandria_LA.html",31.2909782,-92.4616292
"Algona","IA","US","The BGC—Central general business district is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:07 AM PST",0,5487,"https://parkingreform.org/mandates-map/city_detail/Algona_IA.html",43.0699663,-94.233019
"Alleman","IA","US","Uses within the C-1 Commercial District are exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:16 AM PST",0,423,"https://parkingreform.org/mandates-map/city_detail/Alleman_IA.html",41.8200591,-93.611251
"Allen Park","MI","US","Within the C-5 Central Business District, retail, personal service, professional service, and residential uses are exempt from parking mandates. Parking requirements are reduced within a special parking district along Park Avenue and Allen Road.","Implemented","Eliminate Parking Minimums, Reduce Parking Minimums","City Center/Business District","Commercial, Residential","Samuel Deetz","","March 20, 2024, 8:55:15 PM PDT",0,28638,"https://parkingreform.org/mandates-map/city_detail/AllenPark_MI.html",42.2595071,-83.2107671
"Allentown","PA","US","Off-street parking is not required for uses within the B-2 Central Business District except for residential uses consisting of five or more dwelling units. In such cases, and in the case of urban transition multifamily development within the B-5 District, the required number of spaces is 1/2 of the normal requirement for dwelling units. Off-street parking is not required to be provided for nonresidential uses on properties in the B-1/R District fronting on North 7th Street having a nonresidential floor area of not more than 2,000 square feet. Citywide, parking requirements may be reduced by one space through the provision of bike parking.","Implemented","Eliminate Parking Minimums, Reduce Parking Minimums","City Center/Business District","Commercial, Residential","Samuel Deetz","","November 28, 2023, 11:47:18 AM PST",0,125845,"https://parkingreform.org/mandates-map/city_detail/Allentown_PA.html",40.6022059,-75.4712794
"Alliance","NE","US","The C-2 Central Business Zoning District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:06 AM PST",0,8151,"https://parkingreform.org/mandates-map/city_detail/Alliance_NE.html",42.0971897,-102.8707145
"Allouez","WI","US","Nonresidential uses may not provide motor vehicle parking in excess of 125% of the minimum motor vehicle parking ratios. Parking requirements may be reduced through the provision of long-term bike parking or the availability of nearby public parking lots.","Implemented","Parking Maximums, Reduce Parking Minimums","Citywide","All Uses","Samuel Deetz","","November 28, 2023, 11:47:15 AM PST",0,14026,"https://parkingreform.org/mandates-map/city_detail/Allouez_WI.html",44.4774269,-88.0163556
"Alma","WI","US","Parking requirements do not apply in the B District bounded by Dairyland Street on the South and Sunset Drive - Riverview Drive on the North.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:05 AM PST",0,698,"https://parkingreform.org/mandates-map/city_detail/Alma_WI.html",44.3199654,-91.9148839
"Alma","NE","US","Off-street parking requirements are not applicable to any existing commercial use in the C-1 Central Business District.","Implemented","Reduce Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:14 AM PST",0,1043,"https://parkingreform.org/mandates-map/city_detail/Alma_NE.html",40.097511,-99.362043
"Alma","MI","US","Within the B-1 central business district bounded by Downie Street, Pine Street, Center Street, and Wright Avenue and Lincoln Streets, a use may be exempt if certain conditions are met.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","March 9, 2024, 9:55:08 AM PST",0,9488,"https://parkingreform.org/mandates-map/city_detail/Alma_MI.html",43.37892,-84.659727
"Alpena","MI","US","Minimum parking requirements do not apply to commercial buildings in existence at the time of adoption of the parking ordinance or to new commercial uses where it can be demonstrated
that adequate public parking exists when located within the CBD. Parking minimums are not applicable to uses located in the CBD Central Business District or DOD Downtown Overlay District except where more than four dwelling units are constructed above a commercial use. 

For existing buildings within all Business Districts, no additional parking space need be provided when remodeling or rebuilding of structures is proposed, provided the floor area of existing structures on such site is not increased. Parking requirements may be reduced through the provision of bike parking. Parking maximums are set at 130% of the minimums citywide.","Implemented","Eliminate Parking Minimums, Reduce Parking Minimums, Parking Maximums","City Center/Business District","Commercial, Residential, Other","Samuel Deetz","","November 28, 2023, 11:47:19 AM PST",0,10197,"https://parkingreform.org/mandates-map/city_detail/Alpena_MI.html",45.062251,-83.433388
"Alpena Charter Township","MI","US","Parking requirements may be reduced through the provision of bike parking. Parking maximums are set at 150% of the minimums.","Implemented","Reduce Parking Minimums, Parking Maximums","Citywide","All Uses","Samuel Deetz","","November 28, 2023, 11:47:19 AM PST",0,9116,"https://parkingreform.org/mandates-map/city_detail/AlpenaCharterTownship_MI.html",45.111283,-83.450563
"Alpha","IL","US","Single-family dwellings are exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","Citywide","Residential","Samuel Deetz","","January 18, 2024, 6:30:55 PM PST",0,675,"https://parkingreform.org/mandates-map/city_detail/Alpha_IL.html",41.1917031,-90.3801274
"Alta","IA","US","The (C-1) Downtown Commercial District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:11 AM PST",0,2087,"https://parkingreform.org/mandates-map/city_detail/Alta_IA.html",42.6736893,-95.3039943
"Alton","IL","US","Off street parking spaces are not required in the C-4, downtown commercial district, and MR, marina recreation district.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:08 AM PST",0,25676,"https://parkingreform.org/mandates-map/city_detail/Alton_IL.html",38.8908583,-90.1843091
"Altoona","IA","US","Within the C-4 Village Commercial District, the minimum parking requirements are also the maximum allowed. On-street parking spaces may be counted in parking requirements.","Implemented","Reduce Parking Minimums, Parking Maximums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:16 AM PST",0,19565,"https://parkingreform.org/mandates-map/city_detail/Altoona_IA.html",41.6437308,-93.4696031
"Altoona","WI","US","In Blocks 1, 2, 7, and 8 of the original plat of East Eau Claire, now City of Altoona, the minimum automobile parking requirement for commercial uses is fifty percent (50%) of the minimums set forth in the tables. Parking maximums exist for all uses citywide.","Implemented","Reduce Parking Minimums, Parking Maximums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:17 AM PST",0,8292,"https://parkingreform.org/mandates-map/city_detail/Altoona_WI.html",44.8046825,-91.4429355
"Altoona","PA","US","Parking maximums apply to most uses citywide.","Implemented","Parking Maximums","Citywide","Commercial, Industrial, Other, Residential","Samuel Deetz","","January 3, 2024, 6:12:45 PM PST",0,43963,"https://parkingreform.org/mandates-map/city_detail/Altoona_PA.html",40.518681,-78.394736
"Altus","OK","US","Within the Urban Center (UC) District, on-street parking may count towards parking minimums.","Implemented","Reduce Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","May 8, 2024, 11:14:21 AM PDT",0,18729,"https://parkingreform.org/mandates-map/city_detail/Altus_OK.html",34.6381255,-99.3339754
"Alva","OK","US","The CI Intensive Commercial District is exempt from parking mandates.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","May 8, 2024, 11:51:41 AM PDT",0,5028,"https://parkingreform.org/mandates-map/city_detail/Alva_OK.html",36.8030501,-98.6660278
"Amanda","OH","US","The General Business District is exempt from parking mandates.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","June 4, 2024, 9:13:21 AM PDT",0,637,"https://parkingreform.org/mandates-map/city_detail/Amanda_OH.html",39.649508,-82.7443367
"Amarillo","TX","US","Nonresidential uses in the CB Central Business District are exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial, Other","Samuel Deetz","","December 8, 2023, 5:37:07 PM PST",0,200393,"https://parkingreform.org/mandates-map/city_detail/Amarillo_TX.html",35.2072185,-101.833824
"Ames","IA","US","Within the Downtown and Campus Town Service Center Zones, parking requirements are eliminated for most uses, except for dwelling units, short term lodging uses, high schools and universities, and sports practice facilities.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial, Industrial, Other","Samuel Deetz","","November 28, 2023, 11:47:15 AM PST",0,66427,"https://parkingreform.org/mandates-map/city_detail/Ames_IA.html",42.0267567,-93.6170448
"Amherst","WI","US","Commercial uses in the B-2 Central Business District are exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:16 AM PST",0,1125,"https://parkingreform.org/mandates-map/city_detail/Amherst_WI.html",44.4506775,-89.2845905
"Anaconda-Deer Lodge County","MT","US","Except for lodging uses and residential uses, no off-street parking is required in the Central Business Development District/Main Street Overlay (CBDD/MSO). Parking maximums are set at 125% of the minimums citywide.","Implemented","Parking Maximums, Eliminate Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:19 AM PST",0,9421,"https://parkingreform.org/mandates-map/city_detail/Anaconda-DeerLodgeCounty_MT.html",46.1294685,-112.953131
"Anacortes","WA","US","Anacortes reduced parking minimums for most uses and implemented discretionary review for other uses. New projects in downtown have an additional reduction of 50%","Implemented","Reduce Parking Minimums","Citywide","All Uses","Scott Bonjukian","","November 28, 2023, 11:47:04 AM PST",0,18089,"https://parkingreform.org/mandates-map/city_detail/Anacortes_WA.html",48.5020123,-122.6237356
"Anaheim","CA","US","ADUs are exempt from minimum parking requirements depending on transit proximity, number of bedrooms, and other factors. Two-family dwellings are exempt based on transit proximity and carshare availability.","Implemented","Eliminate Parking Minimums","Citywide","Residential","Samuel Deetz","","January 14, 2024, 3:56:58 PM PST",0,346824,"https://parkingreform.org/mandates-map/city_detail/Anaheim_CA.html",33.8347516,-117.911732
"Anamosa","IA","US","No off-street parking is required in the C-1 Central Business Commercial District.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:11 AM PST",0,5450,"https://parkingreform.org/mandates-map/city_detail/Anamosa_IA.html",42.1083371,-91.2851594
"Anchorage","AK","US","Anchorage eliminated all parking minimums citywide on Nov 22, 2022, effective January 22, 2023 per AO 2022-80(S), as amended.","Implemented","Eliminate Parking Minimums","Citywide","All Uses","Jamin Agosti","Nov 22, 2022","November 28, 2023, 11:47:03 AM PST",1,291247,"https://parkingreform.org/mandates-map/city_detail/Anchorage_AK.html",61.2163129,-149.894852
"Anderson","IN","US","Parking requirements do not apply in a block where 50% or more of the area was occupied by business or industrial structures at the time of passage of the zoning code.","Implemented","Eliminate Parking Minimums","Citywide","All Uses","Samuel Deetz","","November 28, 2023, 11:47:19 AM PST",0,54788,"https://parkingreform.org/mandates-map/city_detail/Anderson_IN.html",40.1053196,-85.6802541
"Angola","IN","US","Nonresidential uses in the DC Downtown Commercial District are exempt from minimum parking requirements. Maximum parking limits exist citywide, but may be exceeded with more landscaping.","Implemented","Eliminate Parking Minimums, Parking Maximums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:17 AM PST",0,9340,"https://parkingreform.org/mandates-map/city_detail/Angola_IN.html",41.634874,-84.99928
"Ankeny","IA","US","The C-2A Central Business Commercial District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:07 AM PST",0,67887,"https://parkingreform.org/mandates-map/city_detail/Ankeny_IA.html",41.7320796,-93.605092
"Ann Arbor","MI","US","Ann Arbor has no car parking mandates for any land uses citywide.","Implemented","Eliminate Parking Minimums, Parking Maximums","Citywide","All Uses","Brad Wu","Aug 15, 2022","November 28, 2023, 11:47:04 AM PST",1,120735,"https://parkingreform.org/mandates-map/city_detail/AnnArbor_MI.html",42.2681569,-83.7312291
"Anna","IL","US","The B-1 Central Business District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:07 AM PST",0,4303,"https://parkingreform.org/mandates-map/city_detail/Anna_IL.html",37.4603274,-89.2470282
"Annandale","MN","US","Except for residential uses, the minimum amount of parking required does not apply within the C-1 District.","Implemented","Eliminate Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:05 AM PST",0,3763,"https://parkingreform.org/mandates-map/city_detail/Annandale_MN.html",45.2627428,-94.1244271
"Annapolis","MD","US","Uses under 20,000 square feet in the C2 or C2A districts and under 15,000 square feet in the WMC District are exempt from parking mandates. Additionally, narrow lot single-family dwellings without alley access and uses that would otherwise require 3 spaces or less are exempt. There is a proposal from two city councilors to eliminate on-site parking requirements for all food establishments in all zones (restaurants, bars, deli's, clubs with food service, etc.) in the City of Annapolis. Annapolis previously reduced requirements for restaurants in West Annapolis.","Implemented","Eliminate Parking Minimums","Citywide, City Center/Business District","Other, All Uses, Low Density (SF) Residential","Ted J Sheils","","May 11, 2024, 10:11:32 AM PDT",0,40812,"https://parkingreform.org/mandates-map/city_detail/Annapolis_MD.html",38.9786401,-76.492786
"Anoka","MN","US","The B-3 General Business District is exempt from minimum parking requirements.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:12 AM PST",0,17921,"https://parkingreform.org/mandates-map/city_detail/Anoka_MN.html",45.1977428,-93.3871758
"Antigo","WI","US","The total number of accessory parking spaces provided for a single-family, two-family or multiple-family dwelling may not exceed those required for such use or for an equivalent new use by more than 50 percent or four spaces, whichever number is greater.
When the application of the off-street parking regulations results in a requirement of not more than three spaces on a single zoning lot in any business district, such parking spaces need not be provided. However, where two or more uses are located on a single zoning lot, only one of these uses is eligible for this exemption. This exemption does not apply to dwelling units.","Implemented","Eliminate Parking Minimums, Parking Maximums","City Center/Business District","Commercial, Industrial, Other","Samuel Deetz","","November 28, 2023, 11:47:16 AM PST",0,8100,"https://parkingreform.org/mandates-map/city_detail/Antigo_WI.html",45.140245,-89.152335
"Antioch","IL","US","Small residential and business land uses within the Downtown Parking District (DPD) are exempt from the minimum parking requirements. Large commercial or office development with a gross floor area of ten thousand (10,000) square feet or more will have to provide the village with a parking plan, and it will be subject to village board review and approval. If parking is required of a particular use in the DPD, all on-street parking spaces within six hundred feet (600') of the proposed use and any parking spaces within municipal parking lots within six hundred feet (600') may be included in the calculation for the required number of off-street parking spaces. Commercial establishments within the DPD may not provide off-street parking spaces in a greater number than one hundred percent (100%) of the parking requirement for that establishment's land use.","Implemented","Reduce Parking Minimums, Eliminate Parking Minimums, Parking Maximums","City Center/Business District","Commercial, Residential","Samuel Deetz","","November 28, 2023, 11:47:13 AM PST",0,14622,"https://parkingreform.org/mandates-map/city_detail/Antioch_IL.html",42.4767131,-88.0950691
"Appleton","WI","US","Due to the primarily pedestrian orientation of the Central Business District (CBD), provision for off-street parking and loading spaces are not required for uses in the CBD.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Samuel Deetz","","November 28, 2023, 11:47:06 AM PST",0,75644,"https://parkingreform.org/mandates-map/city_detail/Appleton_WI.html",44.2613967,-88.4069744
"Appleton","MN","US","There are no minimum parking requirements for off-street customer parking in the Downtown Commercial District, however, parking for residential uses and employee parking is required.","Implemented","Reduce Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:14 AM PST",0,1392,"https://parkingreform.org/mandates-map/city_detail/Appleton_MN.html",45.196906,-96.019767
"Arcadia","LA","US","Existing buildings as of August 2, 1960 are exempt from parking mandates.","Implemented","Reduce Parking Minimums","Citywide","All Uses","Samuel Deetz","Aug 2, 1960","February 24, 2024, 8:00:42 PM PST",0,2746,"https://parkingreform.org/mandates-map/city_detail/Arcadia_LA.html",32.5489683,-92.9217754
"Arcata","CA","US","No parking minimum for development in the Commercial Central zoning district, except for residential developments with more than 7 units. Parking Maximums are in place citywide, but are high enough that they do not impact development.","Implemented","Eliminate Parking Minimums","City Center/Business District","All Uses","Colin Fiske","Dec 6, 2013","November 28, 2023, 11:47:11 AM PST",0,18857,"https://parkingreform.org/mandates-map/city_detail/Arcata_CA.html",40.866517,-124.08284
"Archbold","OH","US","Parking requirements for personal services, restaurants, and retail sales are reduced by one-half if located in the CBD, Central Business District, ""Core"" subarea.","Implemented","Reduce Parking Minimums","City Center/Business District","Commercial","Samuel Deetz","","November 28, 2023, 11:47:17 AM PST",0,4516,"https://parkingreform.org/mandates-map/city_detail/Archbold_OH.html",41.5211332,-84.3065469
